PL/0 词法分析结果
--------------------------------------------------
行:列          | 类型(SYM)         | 原始值(VAL)       
--------------------------------------------------
1:1          | PROGRAM         | program        
1:9          | IDENTIFIER      | FinalTest      
1:18         | SEMICOLON       | ;              
3:1          | CONST           | const          
4:1          | IDENTIFIER      | maxlimit       
4:10         | EQUAL           | =              
4:12         | INTEGER         | 1000           
4:16         | COMMA           | ,              
5:1          | IDENTIFIER      | minval         
5:8          | EQUAL           | =              
5:10         | INTEGER         | 0              
5:11         | COMMA           | ,              
6:1          | IDENTIFIER      | factor         
6:8          | EQUAL           | =              
6:10         | INTEGER         | 2              
6:11         | SEMICOLON       | ;              
8:1          | VAR             | var            
9:1          | IDENTIFIER      | x              
9:2          | COMMA           | ,              
9:4          | IDENTIFIER      | y              
9:5          | COMMA           | ,              
9:7          | IDENTIFIER      | result         
9:13         | COMMA           | ,              
9:15         | IDENTIFIER      | temp           
9:19         | SEMICOLON       | ;              
11:1         | PROCEDURE       | procedure      
11:11        | IDENTIFIER      | gcd            
11:14        | LPAREN          | (              
11:15        | IDENTIFIER      | a              
11:16        | COMMA           | ,              
11:18        | IDENTIFIER      | b              
11:19        | RPAREN          | )              
11:20        | SEMICOLON       | ;              
12:1         | VAR             | var            
12:5         | IDENTIFIER      | remainder      
12:14        | SEMICOLON       | ;              
13:1         | BEGIN           | begin          
14:1         | IF              | if             
14:4         | IDENTIFIER      | b              
14:6         | EQUAL           | =              
14:8         | INTEGER         | 0              
14:10        | THEN            | then           
15:1         | IDENTIFIER      | result         
15:8         | ASSIGN          | :=             
15:11        | IDENTIFIER      | a              
16:1         | ELSE            | else           
17:1         | BEGIN           | begin          
18:1         | IDENTIFIER      | remainder      
18:11        | ASSIGN          | :=             
18:14        | IDENTIFIER      | a              
18:15        | SEMICOLON       | ;              
19:1         | WHILE           | while          
19:7         | IDENTIFIER      | remainder      
19:17        | GREATER_EQUAL   | >=             
19:20        | IDENTIFIER      | b              
19:22        | DO              | do             
20:1         | IDENTIFIER      | remainder      
20:11        | ASSIGN          | :=             
20:14        | IDENTIFIER      | remainder      
20:24        | MINUS           | -              
20:26        | IDENTIFIER      | b              
20:27        | SEMICOLON       | ;              
22:1         | CALL            | call           
22:6         | IDENTIFIER      | gcd            
22:9         | LPAREN          | (              
22:10        | IDENTIFIER      | b              
22:11        | COMMA           | ,              
22:13        | IDENTIFIER      | remainder      
22:22        | RPAREN          | )              
25:1         | END             | end            
26:1         | END             | end            
26:4         | SEMICOLON       | ;              
28:1         | PROCEDURE       | procedure      
28:11        | IDENTIFIER      | factorial      
28:20        | LPAREN          | (              
28:21        | IDENTIFIER      | n              
28:22        | RPAREN          | )              
28:23        | SEMICOLON       | ;              
29:1         | BEGIN           | begin          
30:1         | IF              | if             
30:4         | IDENTIFIER      | n              
